arm,method,filter,n,source_set_fit,context_misuse_severity,sufficiency_selected_context,major_issues_count,overall,emotional_support,source_invocations,candidate_memory_tokens_est,kept_memory_tokens_est,generator_input_tokens,end_to_end_latency_ms
pm_off,Learned PM,OFF,204,4.382352941176471,0.00980392156862745,4.5245098039215685,0,3.446078431372549,3.411764705882353,2.715686274509804,683.2549019607843,683.2549019607843,1274.637254901961,
pm_on,Learned PM,ON,204,4.122549019607843,0.024509803921568627,4.436274509803922,0,3.264705882352941,3.215686274509804,2.715686274509804,683.2549019607843,71.45098039215686,693.3480392156863,
rule_off,Rule Source Selector,OFF,204,4.411764705882353,0.014705882352941176,4.642156862745098,0,3.4362745098039214,3.4019607843137254,3.0,1024.5539215686274,1024.5539215686274,1607.4019607843138,
rule_on,Rule Source Selector,ON,204,4.348039215686274,0.014705882352941176,4.455882352941177,0,3.269607843137255,3.230392156862745,3.0,1024.5539215686274,91.51960784313725,729.75,
fixed_off,Structured Fixed,OFF,204,4.53921568627451,0.004901960784313725,4.666666666666667,0,3.480392156862745,3.4313725490196076,4.0,1037.8186274509803,1037.8186274509803,1634.7794117647059,
fixed_on,Structured Fixed,ON,204,4.352941176470588,0.029411764705882353,4.470588235294118,0,3.284313725490196,3.2450980392156863,4.0,1037.8186274509803,92.99019607843137,732.1519607843137,
