comparison,metric,quantity,cluster,estimate,lower,upper,n,clusters
pm_off-rule_off,non_intrusiveness,averaged_orders,scenario_id,-0.010416666666666666,-0.061224489795918366,0.030612244897959183,48,34
pm_off-rule_off,non_intrusiveness,reverse_minus_original,user_id,-0.020833333333333332,-0.13043478260869565,0.058823529411764705,48,18
pm_off-rule_off,non_intrusiveness,reverse_minus_original,scenario_id,-0.020833333333333332,-0.12244897959183673,0.061224489795918366,48,34
pm_off-fixed_off,overall,original,user_id,0.14583333333333334,-0.020833333333333332,0.3404255319148936,48,18
pm_off-fixed_off,overall,original,scenario_id,0.14583333333333334,0.0,0.3181818181818182,48,34
pm_off-fixed_off,overall,reverse,user_id,0,-0.14893617021276595,0.15221571906354456,48,18
pm_off-fixed_off,overall,reverse,scenario_id,0,-0.16666666666666666,0.1590909090909091,48,34
pm_off-fixed_off,overall,averaged_orders,user_id,0.07291666666666667,-0.05102040816326531,0.22451480592236858,48,18
pm_off-fixed_off,overall,averaged_orders,scenario_id,0.07291666666666667,-0.04810049019607841,0.20408163265306123,48,34
pm_off-fixed_off,overall,reverse_minus_original,user_id,-0.14583333333333334,-0.3333333333333333,0.04,48,18
pm_off-fixed_off,overall,reverse_minus_original,scenario_id,-0.14583333333333334,-0.34782608695652173,0.061224489795918366,48,34
pm_off-fixed_off,emotional_support,original,user_id,0.14583333333333334,-0.020833333333333332,0.3404255319148936,48,18
pm_off-fixed_off,emotional_support,original,scenario_id,0.14583333333333334,0.0,0.3181818181818182,48,34
pm_off-fixed_off,emotional_support,reverse,user_id,-0.020833333333333332,-0.16326530612244897,0.1276595744680851,48,18
pm_off-fixed_off,emotional_support,reverse,scenario_id,-0.020833333333333332,-0.19230769230769232,0.14285714285714285,48,34
pm_off-fixed_off,emotional_support,averaged_orders,user_id,0.0625,-0.05813953488372093,0.21568627450980393,48,18
pm_off-fixed_off,emotional_support,averaged_orders,scenario_id,0.0625,-0.061224489795918366,0.1956521739130435,48,34
pm_off-fixed_off,emotional_support,reverse_minus_original,user_id,-0.16666666666666666,-0.3404255319148936,0.0,48,18
pm_off-fixed_off,emotional_support,reverse_minus_original,scenario_id,-0.16666666666666666,-0.375,0.0425531914893617,48,34
pm_off-fixed_off,personalization,original,user_id,0.08333333333333333,-0.045454545454545456,0.2391304347826087,48,18
pm_off-fixed_off,personalization,original,scenario_id,0.08333333333333333,-0.0625,0.2391304347826087,48,34
pm_off-fixed_off,personalization,reverse,user_id,0,-0.14893617021276595,0.15221571906354456,48,18
pm_off-fixed_off,personalization,reverse,scenario_id,0,-0.16666666666666666,0.1568627450980392,48,34
pm_off-fixed_off,personalization,averaged_orders,user_id,0.041666666666666664,-0.06818181818181818,0.17346938775510204,48,18
pm_off-fixed_off,personalization,averaged_orders,scenario_id,0.041666666666666664,-0.08163265306122448,0.1702127659574468,48,34
pm_off-fixed_off,personalization,reverse_minus_original,user_id,-0.08333333333333333,-0.25,0.08333333333333333,48,18
pm_off-fixed_off,personalization,reverse_minus_original,scenario_id,-0.08333333333333333,-0.2727272727272727,0.10638297872340426,48,34
pm_off-fixed_off,memory_appropriateness,original,user_id,0,-0.11363636363636363,0.1111111111111111,48,18
pm_off-fixed_off,memory_appropriateness,original,scenario_id,0,-0.11363636363636363,0.11363636363636363,48,34
pm_off-fixed_off,memory_appropriateness,reverse,user_id,-0.08333333333333333,-0.19148936170212766,0.021739130434782608,48,18
pm_off-fixed_off,memory_appropriateness,reverse,scenario_id,-0.08333333333333333,-0.22641509433962265,0.044444444444444446,48,34
pm_off-fixed_off,memory_appropriateness,averaged_orders,user_id,-0.041666666666666664,-0.10465116279069768,0.02040816326530612,48,18
pm_off-fixed_off,memory_appropriateness,averaged_orders,scenario_id,-0.041666666666666664,-0.125,0.0425531914893617,48,34
pm_off-fixed_off,memory_appropriateness,reverse_minus_original,user_id,-0.08333333333333333,-0.2608695652173913,0.10638297872340426,48,18
pm_off-fixed_off,memory_appropriateness,reverse_minus_original,scenario_id,-0.08333333333333333,-0.2765957446808511,0.10204081632653061,48,34
pm_off-fixed_off,factual_grounding,original,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,factual_grounding,original,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,factual_grounding,reverse,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,factual_grounding,reverse,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,factual_grounding,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_off-fixed_off,factual_grounding,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_off-fixed_off,factual_grounding,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,factual_grounding,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,temporal_consistency,original,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,temporal_consistency,original,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,temporal_consistency,reverse,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,temporal_consistency,reverse,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,temporal_consistency,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_off-fixed_off,temporal_consistency,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_off-fixed_off,temporal_consistency,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,temporal_consistency,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,non_intrusiveness,original,user_id,0,0.0,0.0,48,18
pm_off-fixed_off,non_intrusiveness,original,scenario_id,0,0.0,0.0,48,34
pm_off-fixed_off,non_intrusiveness,reverse,user_id,0,-0.06382978723404255,0.06,48,18
pm_off-fixed_off,non_intrusiveness,reverse,scenario_id,0,-0.06,0.0625,48,34
pm_off-fixed_off,non_intrusiveness,averaged_orders,user_id,0.0,-0.031914893617021274,0.03,48,18
pm_off-fixed_off,non_intrusiveness,averaged_orders,scenario_id,0.0,-0.03,0.03125,48,34
pm_off-fixed_off,non_intrusiveness,reverse_minus_original,user_id,0,-0.06382978723404255,0.06,48,18
pm_off-fixed_off,non_intrusiveness,reverse_minus_original,scenario_id,0,-0.06,0.0625,48,34
pm_on-rule_on,overall,original,user_id,-0.0625,-0.15217391304347827,0.020833333333333332,48,18
pm_on-rule_on,overall,original,scenario_id,-0.0625,-0.1702127659574468,0.043478260869565216,48,34
pm_on-rule_on,overall,reverse,user_id,0.020833333333333332,-0.06666666666666667,0.10869565217391304,48,18
pm_on-rule_on,overall,reverse,scenario_id,0.020833333333333332,-0.06382978723404255,0.11904761904761904,48,34
pm_on-rule_on,overall,averaged_orders,user_id,-0.020833333333333332,-0.09183673469387756,0.05,48,18
pm_on-rule_on,overall,averaged_orders,scenario_id,-0.020833333333333332,-0.08823529411764706,0.05319148936170213,48,34
pm_on-rule_on,overall,reverse_minus_original,user_id,0.08333333333333333,-0.02040816326530612,0.20408163265306123,48,18
pm_on-rule_on,overall,reverse_minus_original,scenario_id,0.08333333333333333,-0.0425531914893617,0.23404255319148937,48,34
pm_on-rule_on,emotional_support,original,user_id,-0.0625,-0.15217391304347827,0.020833333333333332,48,18
pm_on-rule_on,emotional_support,original,scenario_id,-0.0625,-0.1702127659574468,0.043478260869565216,48,34
pm_on-rule_on,emotional_support,reverse,user_id,0.020833333333333332,-0.06666666666666667,0.10869565217391304,48,18
pm_on-rule_on,emotional_support,reverse,scenario_id,0.020833333333333332,-0.06382978723404255,0.11904761904761904,48,34
pm_on-rule_on,emotional_support,averaged_orders,user_id,-0.020833333333333332,-0.09183673469387756,0.05,48,18
pm_on-rule_on,emotional_support,averaged_orders,scenario_id,-0.020833333333333332,-0.08823529411764706,0.05319148936170213,48,34
pm_on-rule_on,emotional_support,reverse_minus_original,user_id,0.08333333333333333,-0.02040816326530612,0.20408163265306123,48,18
pm_on-rule_on,emotional_support,reverse_minus_original,scenario_id,0.08333333333333333,-0.0425531914893617,0.23404255319148937,48,34
pm_on-rule_on,personalization,original,user_id,-0.10416666666666667,-0.1875,-0.038461538461538464,48,18
pm_on-rule_on,personalization,original,scenario_id,-0.10416666666666667,-0.2127659574468085,0.0,48,34
pm_on-rule_on,personalization,reverse,user_id,0.020833333333333332,-0.043478260869565216,0.08888888888888889,48,18
pm_on-rule_on,personalization,reverse,scenario_id,0.020833333333333332,-0.0425531914893617,0.0975609756097561,48,34
pm_on-rule_on,personalization,averaged_orders,user_id,-0.041666666666666664,-0.08888888888888889,0.0,48,18
pm_on-rule_on,personalization,averaged_orders,scenario_id,-0.041666666666666664,-0.09615384615384616,0.011111111111111112,48,34
pm_on-rule_on,personalization,reverse_minus_original,user_id,0.125,0.02,0.24489795918367346,48,18
pm_on-rule_on,personalization,reverse_minus_original,scenario_id,0.125,0.0,0.2727272727272727,48,34
pm_on-rule_on,memory_appropriateness,original,user_id,-0.0625,-0.15217391304347827,0.020833333333333332,48,18
pm_on-rule_on,memory_appropriateness,original,scenario_id,-0.0625,-0.15688854489164084,0.02127659574468085,48,34
pm_on-rule_on,memory_appropriateness,reverse,user_id,0.041666666666666664,0.0,0.10204081632653061,48,18
pm_on-rule_on,memory_appropriateness,reverse,scenario_id,0.041666666666666664,0.0,0.10869565217391304,48,34
pm_on-rule_on,memory_appropriateness,averaged_orders,user_id,-0.010416666666666666,-0.056818181818181816,0.03125,48,18
pm_on-rule_on,memory_appropriateness,averaged_orders,scenario_id,-0.010416666666666666,-0.05555555555555555,0.03409090909090909,48,34
pm_on-rule_on,memory_appropriateness,reverse_minus_original,user_id,0.10416666666666667,0.0,0.22448979591836735,48,18
pm_on-rule_on,memory_appropriateness,reverse_minus_original,scenario_id,0.10416666666666667,0.0,0.2391304347826087,48,34
pm_on-rule_on,factual_grounding,original,user_id,0,0.0,0.0,48,18
pm_on-rule_on,factual_grounding,original,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,factual_grounding,reverse,user_id,0,0.0,0.0,48,18
pm_on-rule_on,factual_grounding,reverse,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,factual_grounding,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_on-rule_on,factual_grounding,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_on-rule_on,factual_grounding,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_on-rule_on,factual_grounding,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,temporal_consistency,original,user_id,0,0.0,0.0,48,18
pm_on-rule_on,temporal_consistency,original,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,temporal_consistency,reverse,user_id,0,0.0,0.0,48,18
pm_on-rule_on,temporal_consistency,reverse,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,temporal_consistency,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_on-rule_on,temporal_consistency,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_on-rule_on,temporal_consistency,reverse_minus_original,user_id,0,0.0,0.0,48,18
pm_on-rule_on,temporal_consistency,reverse_minus_original,scenario_id,0,0.0,0.0,48,34
pm_on-rule_on,non_intrusiveness,original,user_id,0.020833333333333332,0.0,0.06382978723404255,48,18
pm_on-rule_on,non_intrusiveness,original,scenario_id,0.020833333333333332,0.0,0.06521739130434782,48,34
pm_on-rule_on,non_intrusiveness,reverse,user_id,-0.020833333333333332,-0.06382978723404255,0.0,48,18
pm_on-rule_on,non_intrusiveness,reverse,scenario_id,-0.020833333333333332,-0.06521739130434782,0.0,48,34
pm_on-rule_on,non_intrusiveness,averaged_orders,user_id,0.0,0.0,0.0,48,18
pm_on-rule_on,non_intrusiveness,averaged_orders,scenario_id,0.0,0.0,0.0,48,34
pm_on-rule_on,non_intrusiveness,reverse_minus_original,user_id,-0.041666666666666664,-0.1276595744680851,0.0,48,18
pm_on-rule_on,non_intrusiveness,reverse_minus_original,scenario_id,-0.041666666666666664,-0.13043478260869565,0.0,48,34
pm_on-fixed_on,overall,original,user_id,-0.0625,-0.14893617021276595,0.02127659574468085,48,18
pm_on-fixed_on,overall,original,scenario_id,-0.0625,-0.17391304347826086,0.0425531914893617,48,34
pm_on-fixed_on,overall,reverse,user_id,0,-0.10204081632653061,0.10204081632653061,48,18
pm_on-fixed_on,overall,reverse,scenario_id,0,-0.09620098039215683,0.10869565217391304,48,34
pm_on-fixed_on,overall,averaged_orders,user_id,-0.03125,-0.10872826086956519,0.044444444444444446,48,18
pm_on-fixed_on,overall,averaged_orders,scenario_id,-0.03125,-0.10870553359683793,0.045454545454545456,48,34
pm_on-fixed_on,overall,reverse_minus_original,user_id,0.0625,-0.03923529411764704,0.17391304347826086,48,18
pm_on-fixed_on,overall,reverse_minus_original,scenario_id,0.0625,-0.061224489795918366,0.20930232558139536,48,34
pm_on-fixed_on,emotional_support,original,user_id,-0.08333333333333333,-0.18,0.0,48,18
pm_on-fixed_on,emotional_support,original,scenario_id,-0.08333333333333333,-0.2,0.022727272727272728,48,34
pm_on-fixed_on,emotional_support,reverse,user_id,0,-0.10204081632653061,0.10204081632653061,48,18
pm_on-fixed_on,emotional_support,reverse,scenario_id,0,-0.09620098039215683,0.10869565217391304,48,34
pm_on-fixed_on,emotional_support,averaged_orders,user_id,-0.041666666666666664,-0.12004878048780483,0.0392156862745098,48,18
pm_on-fixed_on,emotional_support,averaged_orders,scenario_id,-0.041666666666666664,-0.12,0.038461538461538464,48,34
pm_on-fixed_on,emotional_support,reverse_minus_original,user_id,0.08333333333333333,-0.02040816326530612,0.20408163265306123,48,18
pm_on-fixed_on,emotional_support,reverse_minus_original,scenario_id,0.08333333333333333,-0.0425531914893617,0.23529411764705882,48,34
pm_on-fixed_on,personalization,original,user_id,-0.08333333333333333,-0.16,-0.02040816326530612,48,18
pm_on-fixed_on,personalization,original,scenario_id,-0.08333333333333333,-0.18518518518518517,0.0,48,34
pm_on-fixed_on,personalization,reverse,user_id,0,-0.08333333333333333,0.08333333333333333,48,18
pm_on-fixed_on,personalization,reverse,scenario_id,0,-0.08163265306122448,0.0851063829787234,48,34
pm_on-fixed_on,personalization,averaged_orders,user_id,-0.041666666666666664,-0.08695652173913043,0.0,48,18
pm_on-fixed_on,personalization,averaged_orders,scenario_id,-0.041666666666666664,-0.09782608695652174,0.011111111111111112,48,34
pm_on-fixed_on,personalization,reverse_minus_original,user_id,0.08333333333333333,-0.04,0.20833333333333334,48,18
pm_on-fixed_on,personalization,reverse_minus_original,scenario_id,0.08333333333333333,-0.043478260869565216,0.23404255319148937,48,34
pm_on-fixed_on,memory_appropriateness,original,user_id,-0.041666666666666664,-0.125,0.04081632653061224,48,18
pm_on-fixed_on,memory_appropriateness,original,scenario_id,-0.041666666666666664,-0.12962962962962962,0.0392156862745098,48,34
pm_on-fixed_on,memory_appropriateness,reverse,user_id,0.020833333333333332,-0.043478260869565216,0.08695652173913043,48,18
pm_on-fixed_on,memory_appropriateness,reverse,scenario_id,0.020833333333333332,-0.044444444444444446,0.09523809523809523,48,34
pm_on-fixed_on,memory_appropriateness,averaged_orders,user_id,-0.010416666666666666,-0.05434782608695652,0.03260869565217391,48,18
pm_on-fixed_on,memory_appropriateness,averaged_orders,scenario_id,-0.010416666666666666,-0.056818181818181816,0.03333333333333333,48,34
pm_on-fixed_on,memory_appropriateness,reverse_minus_original,user_id,0.0625,-0.043478260869565216,0.1875,48,18
