repeat,arm,n,local_first_text_ms,local_complete_ms,input_tokens,output_tokens
0,pm_off,48,428.7247273896355,2318.3257763206107,1277.5208333333333,69.58333333333333
0,rule_off,48,505.83512971449335,2359.4062254511905,1609.375,67.66666666666667
0,fixed_off,48,487.5911644145769,2314.994690944635,1636.8333333333333,66.8125
0,context_only,48,81.10706927254796,1844.1856291562242,375.125,66.125
0,me_r0,48,217.0315640202413,2269.598711965955,1267.9375,75.54166666666667
1,pm_off,48,438.6511223759347,2327.3501766622453,1277.5208333333333,69.58333333333333
1,rule_off,48,506.9866028400914,2356.9444017096735,1609.375,67.66666666666667
1,fixed_off,48,491.8545134181234,2319.82070900267,1636.8333333333333,66.8125
1,context_only,48,81.01934831938706,1842.3229698625316,375.125,66.125
1,me_r0,48,216.73105149238836,2270.407941818121,1267.9375,75.54166666666667
2,pm_off,48,433.9054217222535,2325.143557328071,1277.5208333333333,69.58333333333333
2,rule_off,48,493.53995653412613,2344.8851234522103,1609.375,67.66666666666667
2,fixed_off,48,495.39027888386045,2323.6305676255142,1636.8333333333333,66.8125
2,context_only,48,80.94373803275327,1841.908447589958,375.125,66.125
2,me_r0,48,216.87982437530687,2268.3932193807173,1267.9375,75.54166666666667
