baseline,metric,cluster,n_pairs,n_clusters,pm_mean,baseline_mean,delta_pm_minus_baseline,ci_low,ci_high,reduction_percent
rule_off,local_first_text_ms,user_id,48,18,433.76042382927454,502.12056302957035,-68.36013920029573,-93.38957320882577,-43.149265929221876,13.614287928747903
rule_off,local_complete_ms,user_id,48,18,2323.606503436976,2353.7452502043584,-30.138746767382454,-126.45206046384632,84.96822462761857,1.280459164591663
rule_off,local_first_token_ms,user_id,48,18,433.6977886721595,502.05297382651935,-68.35518515435979,-93.384302602345,-43.14557888496537,13.615134003365048
rule_off,generator_first_token_ms,user_id,48,18,213.39155925508953,265.18679998439944,-51.79524072930993,-72.27489603921069,-33.05584997059554,19.531605921696304
rule_off,state_hydration_ms,user_id,48,18,0.12244191182415105,0.12468535472483684,-0.002243442900685801,-0.008432558993848625,0.0038079865465777485,1.799283408734531
rule_off,policy_ms,user_id,48,18,6.997831579711703,199.27424762540286,-192.2764160456912,-201.5244528249237,-183.2009709101031,96.488341236713
rule_off,retrieval_ms,user_id,48,18,209.69793619588017,33.28197942432275,176.41595677155746,155.14818296283215,197.41182857460487,-530.0644968328752
rule_off,prompt_build_ms,user_id,48,18,0.04193506578707861,0.04283832903537485,-0.0009032632482962478,-0.003671446595237486,0.0019206172879124774,2.1085398722026416
rule_off,tokenization_ms,user_id,48,18,3.3977765997406095,4.094397228780306,-0.6966206290396965,-0.9304508323295678,-0.45551737888991745,17.01399717992714
rule_off,generation_setup_ms,user_id,48,18,0.04830806412630611,0.0480258798537155,0.0002821842725906105,-0.0018814877441163053,0.00256977062540274,-0.5875671064228927
rule_off,generation_ms,user_id,48,18,2103.1594026652683,2116.739917274875,-13.580514609606752,-116.9868066279773,110.70756982472334,0.6415769126275395
rule_off,final_decode_ms,user_id,48,18,0.14087135463746056,0.13915908736332008,0.001712267274140482,-0.00392062918131128,0.007181241448658205,-1.230438706219772
rule_off,input_tokens,user_id,48,18,1277.5208333333333,1609.375,-331.8541666666667,-460.6670212765958,-212.56724924012164,20.620064724919096
rule_off,output_tokens,user_id,48,18,69.58333333333333,67.66666666666667,1.9166666666666667,-1.4565217391304348,6.282608695652174,-2.8325123152709297
rule_off,source_invocations,user_id,48,18,2.75,3.0,-0.25,-0.3695652173913043,-0.1276595744680851,8.333333333333337
rule_off,local_first_text_ms,scenario_id,48,34,433.76042382927454,502.12056302957035,-68.36013920029573,-90.37142111193839,-46.28499477644078,13.614287928747903
rule_off,local_complete_ms,scenario_id,48,34,2323.606503436976,2353.7452502043584,-30.138746767382454,-116.82374944115561,81.9982521628412,1.280459164591663
rule_off,local_first_token_ms,scenario_id,48,34,433.6977886721595,502.05297382651935,-68.35518515435979,-90.36874305081763,-46.282329576001096,13.615134003365048
rule_off,generator_first_token_ms,scenario_id,48,34,213.39155925508953,265.18679998439944,-51.79524072930993,-68.81862650131437,-35.04986174069383,19.531605921696304
rule_off,state_hydration_ms,scenario_id,48,34,0.12244191182415105,0.12468535472483684,-0.002243442900685801,-0.007862176015680912,0.0027165389380331894,1.799283408734531
rule_off,policy_ms,scenario_id,48,34,6.997831579711703,199.27424762540286,-192.2764160456912,-200.53916717641567,-184.01069650177288,96.488341236713
rule_off,retrieval_ms,scenario_id,48,34,209.69793619588017,33.28197942432275,176.41595677155746,157.14426258375133,195.32743047797322,-530.0644968328752
rule_off,prompt_build_ms,scenario_id,48,34,0.04193506578707861,0.04283832903537485,-0.0009032632482962478,-0.003571727322604583,0.0016016235401408207,2.1085398722026416
rule_off,tokenization_ms,scenario_id,48,34,3.3977765997406095,4.094397228780306,-0.6966206290396965,-0.9141947587485736,-0.47618217213979963,17.01399717992714
rule_off,generation_setup_ms,scenario_id,48,34,0.04830806412630611,0.0480258798537155,0.0002821842725906105,-0.0018402327310926027,0.0022883353292384515,-0.5875671064228927
rule_off,generation_ms,scenario_id,48,34,2103.1594026652683,2116.739917274875,-13.580514609606752,-105.97714849689751,107.74655090014743,0.6415769126275395
rule_off,final_decode_ms,scenario_id,48,34,0.14087135463746056,0.13915908736332008,0.001712267274140482,-0.005042906150562703,0.00891544860422291,-1.230438706219772
rule_off,input_tokens,scenario_id,48,34,1277.5208333333333,1609.375,-331.8541666666667,-440.37326743197275,-224.8044215425533,20.620064724919096
rule_off,output_tokens,scenario_id,48,34,69.58333333333333,67.66666666666667,1.9166666666666667,-1.222278911564626,6.083333333333333,-2.8325123152709297
rule_off,source_invocations,scenario_id,48,34,2.75,3.0,-0.25,-0.3617504835589942,-0.14285714285714285,8.333333333333337
fixed_off,local_first_text_ms,user_id,48,18,433.76042382927454,491.61198557218694,-57.85156174291236,-85.13287887693723,-31.084712211087353,11.76772809466372
fixed_off,local_complete_ms,user_id,48,18,2323.606503436976,2319.4819891909397,4.124514246036085,-117.34552210386987,133.97983616592253,-0.1778204903188252
fixed_off,local_first_token_ms,user_id,48,18,433.6977886721595,491.5455310902973,-57.84774241813768,-85.12953165575742,-31.081050613678762,11.768542029021333
fixed_off,generator_first_token_ms,user_id,48,18,213.39155925508953,269.79186354664205,-56.40030429155255,-76.38749726601307,-38.0397171415642,20.905116837150995
fixed_off,state_hydration_ms,user_id,48,18,0.12244191182415105,0.12067730292781359,0.001764608896337451,-0.0018898200829021825,0.005941374422120974,-1.4622541716838189
fixed_off,policy_ms,user_id,48,18,6.997831579711703,0.007762470179133944,6.990069109532569,6.7557296250411465,7.231299238745123,-90049.54541818863
fixed_off,retrieval_ms,user_id,48,18,209.69793619588017,217.40942160088002,-7.7114854049998245,-24.762485741106257,6.961261051304299,3.5469876826021762
fixed_off,prompt_build_ms,user_id,48,18,0.04193506578707861,0.05011827872496926,-0.008183212937890655,-0.010649175160227621,-0.005785043570052739,16.327801245523855
fixed_off,tokenization_ms,user_id,48,18,3.3977765997406095,4.117545736436214,-0.7197691366956053,-0.9571365882528758,-0.4952692833009038,17.48053774670573
fixed_off,generation_setup_ms,user_id,48,18,0.04830806412630611,0.04814215450702856,0.0001659096192775495,-0.0011976267977834053,0.0015913976223803005,-0.34462441695111146
fixed_off,generation_ms,user_id,48,18,2103.1594026652683,2097.5928513653344,5.5665512999338445,-120.90281344746197,145.91517365813968,-0.2653780640180292
fixed_off,final_decode_ms,user_id,48,18,0.14087135463746056,0.1354702819500946,0.005401072687365941,-0.0013117482184921965,0.011703946544918645,-3.98690591738462
fixed_off,input_tokens,user_id,48,18,1277.5208333333333,1636.8333333333333,-359.3125,-488.3415,-240.21393995098043,21.951685164443536
fixed_off,output_tokens,user_id,48,18,69.58333333333333,66.8125,2.7708333333333335,-1.4315882352941174,7.694144248608531,-4.147178048019939
fixed_off,source_invocations,user_id,48,18,2.75,4.0,-1.25,-1.3695652173913044,-1.127659574468085,31.25
fixed_off,local_first_text_ms,scenario_id,48,34,433.76042382927454,491.61198557218694,-57.85156174291236,-79.97272192655754,-35.51376068880556,11.76772809466372
fixed_off,local_complete_ms,scenario_id,48,34,2323.606503436976,2319.4819891909397,4.124514246036085,-110.39364086718709,132.58201520005292,-0.1778204903188252
fixed_off,local_first_token_ms,scenario_id,48,34,433.6977886721595,491.5455310902973,-57.84774241813768,-79.9671129577462,-35.51229642919488,11.768542029021333
fixed_off,generator_first_token_ms,scenario_id,48,34,213.39155925508953,269.79186354664205,-56.40030429155255,-73.06078423467133,-39.7971371293496,20.905116837150995
fixed_off,state_hydration_ms,scenario_id,48,34,0.12244191182415105,0.12067730292781359,0.001764608896337451,-0.0025588693170450934,0.006191204951404514,-1.4622541716838189
fixed_off,policy_ms,scenario_id,48,34,6.997831579711703,0.007762470179133944,6.990069109532569,6.732895172632803,7.338614740441446,-90049.54541818863
fixed_off,retrieval_ms,scenario_id,48,34,209.69793619588017,217.40942160088002,-7.7114854049998245,-25.60817662974039,7.6054937923568895,3.5469876826021762
fixed_off,prompt_build_ms,scenario_id,48,34,0.04193506578707861,0.05011827872496926,-0.008183212937890655,-0.010662054255623507,-0.005809747394036459,16.327801245523855
fixed_off,tokenization_ms,scenario_id,48,34,3.3977765997406095,4.117545736436214,-0.7197691366956053,-0.9273081878183301,-0.508392585470105,17.48053774670573
fixed_off,generation_setup_ms,scenario_id,48,34,0.04830806412630611,0.04814215450702856,0.0001659096192775495,-0.0015808979392595412,0.0018359557443799984,-0.34462441695111146
fixed_off,generation_ms,scenario_id,48,34,2103.1594026652683,2097.5928513653344,5.5665512999338445,-113.99458134160295,142.64038343349355,-0.2653780640180292
fixed_off,final_decode_ms,scenario_id,48,34,0.14087135463746056,0.1354702819500946,0.005401072687365941,-0.0016383969763695647,0.012640741117684352,-3.98690591738462
fixed_off,input_tokens,scenario_id,48,34,1277.5208333333333,1636.8333333333333,-359.3125,-467.7161094224924,-251.84258788159121,21.951685164443536
fixed_off,output_tokens,scenario_id,48,34,69.58333333333333,66.8125,2.7708333333333335,-1.1957608695652173,7.416666666666667,-4.147178048019939
fixed_off,source_invocations,scenario_id,48,34,2.75,4.0,-1.25,-1.3617504835589942,-1.1428571428571428,31.25
context_only,local_first_text_ms,user_id,48,18,433.76042382927454,81.02338520822944,352.7370386210451,318.7804370938684,387.0030601555382,-435.35213656466436
context_only,local_complete_ms,user_id,48,18,2323.606503436976,1842.8056822029048,480.800821234071,330.0675378727104,624.5566452825518,-26.090695610365056
context_only,local_first_token_ms,user_id,48,18,433.6977886721595,80.97766063777574,352.72012803438383,318.76220575316506,386.9861516514457,-435.57707799457137
context_only,generator_first_token_ms,user_id,48,18,213.39155925508953,79.4344418358782,133.9571174192113,113.34368424489213,153.38627732154015,-168.6385833691436
context_only,state_hydration_ms,user_id,48,18,0.12244191182415105,0.12323463063997527,-0.0007927188158242216,-0.005439034500609236,0.003789442900910071,0.6432597815301699
context_only,policy_ms,user_id,48,18,6.997831579711703,0.00743862377324452,6.990392955938457,6.756285253116159,7.231588153556609,-93974.27762218232
context_only,retrieval_ms,user_id,48,18,209.69793619588017,0.03367780138634973,209.66425839449383,189.04396754227736,229.2500438787283,-622559.222287815
context_only,prompt_build_ms,user_id,48,18,0.04193506578707861,0.009967156478928195,0.03196790930815041,0.029788462521521234,0.03434940831664079,-320.7324915158555
context_only,tokenization_ms,user_id,48,18,3.3977765997406095,1.3290856780561928,2.0686909216844165,1.826935696015531,2.3055354564224286,-155.64767236901594
context_only,generation_setup_ms,user_id,48,18,0.04830806412630611,0.03981491156284594,0.008493152563460171,0.0070265960352521185,0.009961708575141849,-21.331587161895694
context_only,generation_ms,user_id,48,18,2103.1594026652683,1841.1228860899835,262.036516575285,108.24795410520862,409.2066050010976,-14.232429489363163
context_only,final_decode_ms,user_id,48,18,0.14087135463746056,0.1395773110238628,0.0012940436135977478,-0.005203925596965635,0.0070533883745218144,-0.92711602201343
context_only,input_tokens,user_id,48,18,1277.5208333333333,375.125,902.3958333333334,771.9766766882517,1024.4089448545374,-240.55870265467064
context_only,output_tokens,user_id,48,18,69.58333333333333,66.125,3.4583333333333335,-1.744813829787234,8.560062499999999,-5.229993698802771
context_only,source_invocations,user_id,48,18,2.75,0.0,2.75,2.630434782608696,2.872340425531915,
context_only,local_first_text_ms,scenario_id,48,34,433.76042382927454,81.02338520822944,352.7370386210451,324.4442693307389,381.1267830735373,-435.35213656466436
context_only,local_complete_ms,scenario_id,48,34,2323.606503436976,1842.8056822029048,480.800821234071,328.6480819320368,646.0496021734831,-26.090695610365056
context_only,local_first_token_ms,scenario_id,48,34,433.6977886721595,80.97766063777574,352.72012803438383,324.42795667079747,381.1108910620812,-435.57707799457137
context_only,generator_first_token_ms,scenario_id,48,34,213.39155925508953,79.4344418358782,133.9571174192113,116.15447928722521,151.49197469188553,-168.6385833691436
context_only,state_hydration_ms,scenario_id,48,34,0.12244191182415105,0.12323463063997527,-0.0007927188158242216,-0.005770473810685731,0.003972276070997565,0.6432597815301699
context_only,policy_ms,scenario_id,48,34,6.997831579711703,0.00743862377324452,6.990392955938457,6.733286717879768,7.339158554314965,-93974.27762218232
context_only,retrieval_ms,scenario_id,48,34,209.69793619588017,0.03367780138634973,209.66425839449383,190.5506532219281,227.55720541243005,-622559.222287815
context_only,prompt_build_ms,scenario_id,48,34,0.04193506578707861,0.009967156478928195,0.03196790930815041,0.029978414349019496,0.03404187711677159,-320.7324915158555
context_only,tokenization_ms,scenario_id,48,34,3.3977765997406095,1.3290856780561928,2.0686909216844165,1.8526864961746419,2.2851621335353323,-155.64767236901594
context_only,generation_setup_ms,scenario_id,48,34,0.04830806412630611,0.03981491156284594,0.008493152563460171,0.006946574185950994,0.009992194625536082,-21.331587161895694
context_only,generation_ms,scenario_id,48,34,2103.1594026652683,1841.1228860899835,262.036516575285,105.32210662689369,433.14669242505204,-14.232429489363163
context_only,final_decode_ms,scenario_id,48,34,0.14087135463746056,0.1395773110238628,0.0012940436135977478,-0.0051801478127722475,0.008503813283621434,-0.92711602201343
context_only,input_tokens,scenario_id,48,34,1277.5208333333333,375.125,902.3958333333334,790.9406887755102,1011.3754076086957,-240.55870265467064
context_only,output_tokens,scenario_id,48,34,69.58333333333333,66.125,3.4583333333333335,-1.9166666666666667,9.420055555555555,-5.229993698802771
context_only,source_invocations,scenario_id,48,34,2.75,0.0,2.75,2.6382495164410056,2.857142857142857,
me_r0,local_first_text_ms,user_id,48,18,433.76042382927454,216.8808132959788,216.87961053329573,186.16161592936734,248.6808167779794,-99.99944542688456
me_r0,local_complete_ms,user_id,48,18,2323.606503436976,2269.4666243882643,54.13987904871137,-72.70784441455933,174.56713571371023,-2.3855772306545786
me_r0,local_first_token_ms,user_id,48,18,433.6977886721595,216.81658669452494,216.88120197763462,186.16620189564364,248.67842844793077,-100.0298018173308
me_r0,generator_first_token_ms,user_id,48,18,213.39155925508953,210.7936975290714,2.5978617260180847,-17.365862417810902,20.790970712836238,-1.232419069673485
me_r0,state_hydration_ms,user_id,48,18,0.12244191182415105,0.12067488892676516,0.0017670228973858896,-0.001552734449879049,0.0049074580232811894,-1.4642838399115954
me_r0,policy_ms,user_id,48,18,6.997831579711703,0.00755936748141216,6.99027221223029,6.755907025173952,7.2315984579036,-92471.65492905027
me_r0,retrieval_ms,user_id,48,18,209.69793619588017,2.771342461023272,206.92659373485694,186.34276691642052,226.40512710096732,-7466.655479974593
me_r0,prompt_build_ms,user_id,48,18,0.04193506578707861,0.016705348065847326,0.025229717721231282,0.02280390033347654,0.027703834979436168,-151.02778835725857
me_r0,tokenization_ms,user_id,48,18,3.3977765997406095,3.0669453667036977,0.33083123303691137,0.07618266172240672,0.5811324345535356,-10.78699466343882
me_r0,generation_setup_ms,user_id,48,18,0.04830806412630611,0.039661733252513744,0.00864633087379237,0.007092175829988582,0.010123823111355037,-21.800184118893394
me_r0,generation_ms,user_id,48,18,2103.1594026652683,2263.299957254074,-160.1405545888055,-287.63527625392567,-40.106657450400135,7.075533849392834
me_r0,final_decode_ms,user_id,48,18,0.14087135463746056,0.14377796873708978,-0.0029066140996292233,-0.010587913626664185,0.00435704852053378,2.021599084449588
me_r0,input_tokens,user_id,48,18,1277.5208333333333,1267.9375,9.583333333333334,-122.68160756501183,128.88906249999994,-0.755820640475835
me_r0,output_tokens,user_id,48,18,69.58333333333333,75.54166666666667,-5.958333333333333,-10.469632227891156,-1.82,7.887479316050761
me_r0,source_invocations,user_id,48,18,2.75,1.0,1.75,1.6304347826086956,1.872340425531915,-175.0
me_r0,local_first_text_ms,scenario_id,48,34,433.76042382927454,216.8808132959788,216.87961053329573,191.76086918337535,242.4278658317764,-99.99944542688456
me_r0,local_complete_ms,scenario_id,48,34,2323.606503436976,2269.4666243882643,54.13987904871137,-66.05636440936307,172.0315865648499,-2.3855772306545786
me_r0,local_first_token_ms,scenario_id,48,34,433.6977886721595,216.81658669452494,216.88120197763462,191.7627501856849,242.43283759599672,-100.0298018173308
