unit_id,arm,user_id,scenario_id,seed,turn_index,local_first_text_ms,local_complete_ms,local_first_token_ms,generator_first_token_ms,state_hydration_ms,policy_ms,retrieval_ms,prompt_build_ms,tokenization_ms,generation_setup_ms,generation_ms,final_decode_ms,input_tokens,output_tokens,source_invocations
state_095e7d5a576866ef0fd9,context_only,p16,p16:1,101,8,88.61390741852422,2230.7448660333953,88.57095039760073,87.00355336380501,0.11177539514998595,0.006845065702994664,0.03511489679416021,0.00931834802031517,1.3690637424588203,0.03527958566943804,2229.0227736812085,0.15469531839092573,444.0,80.0,0.0
state_095e7d5a576866ef0fd9,fixed_off,p16,p16:1,101,8,561.3389676436782,2847.6346565876156,561.2835479745021,304.7789869985233,0.12884102761745453,0.007888690258065859,251.9951385911554,0.04622704970339934,4.28185798227787,0.04460763496657213,2590.999652942022,0.1304426696151495,1839.0,83.0,4.0
state_095e7d5a576866ef0fd9,me_r0,p16,p16:1,101,8,250.74449639456967,3068.1664990261197,250.6799173230926,243.28641329581538,0.12873167482515177,0.008295678223172823,3.579947321365277,0.01872571495672067,3.6161585400501886,0.04164509785672029,3060.6317912849286,0.1412037139137586,1508.0,103.0,1.0
state_095e7d5a576866ef0fd9,pm_off,p16,p16:1,101,8,397.3072417235623,2953.7096549756825,397.2540656880786,141.13228504235545,0.11375965550541878,7.199571002274752,246.37607640276352,0.03835326060652733,2.349796084066232,0.04422424050668875,2697.4287276777127,0.15914665224651495,784.0,95.0,3.0
state_095e7d5a576866ef0fd9,rule_off,p16,p16:1,101,8,557.6027176963786,2973.854525014758,557.5496753832946,305.38776198712486,0.11461041867733002,234.6494496644785,13.06901096055905,0.04180738081534704,4.243629984557629,0.04340498708188534,2721.5628339909017,0.12977762768665949,1809.0,88.0,3.0
state_0d7417c0bca2b3ba0921,context_only,p4,p4:1,303,8,89.27297662012279,2534.064614602054,89.22202629037201,87.29591166290145,0.144050611803929,0.008341313029328981,0.04473142325878143,0.01199101097881794,1.6713542087624471,0.04564605963726839,2531.9965603606156,0.14193961396813393,439.0,91.0,0.0
state_0d7417c0bca2b3ba0921,fixed_off,p4,p4:1,303,8,521.6961953168114,3039.6153343996652,521.6346217008928,280.58034235921997,0.11163911161323388,0.006900324175755183,236.8934842913101,0.04281732253730297,3.955856276055177,0.04358201598127683,2798.3829587077103,0.17809635028243065,1678.0,91.0,4.0
state_0d7417c0bca2b3ba0921,me_r0,p4,p4:1,303,8,239.24888825664917,2889.2921039368957,239.17829703229168,232.5473053691288,0.13260729610919952,0.008808992182215055,3.1251293451835713,0.016670596475402515,3.306277717153231,0.04149771605928739,2882.5005708883205,0.1605413854122162,1330.0,97.0,1.0
state_0d7417c0bca2b3ba0921,pm_off,p4,p4:1,303,8,563.2662559704235,2616.6207199761025,563.2153355982155,264.02324127654236,0.12737264235814413,7.715834382300575,287.28862789769966,0.040793713803092636,3.9755099763472876,0.04395570916434129,2317.2808326780796,0.1477929763495922,1646.0,75.0,3.0
state_0d7417c0bca2b3ba0921,rule_off,p4,p4:1,303,8,506.82987707356614,2559.658100362867,506.76828995347023,263.9271588996053,0.11379799495140712,226.16502603826424,12.439929647371173,0.03695371560752392,4.0402396116405725,0.045184046030044556,2316.6891576256603,0.12781168334186077,1646.0,75.0,3.0
state_1679d891d5425f37ea08,context_only,p7,p7:1,101,8,88.55183570024867,2686.4941280024746,88.5134950124969,86.93187862324218,0.11223368346691132,0.006966060027480125,0.03603395695487658,0.011172611266374588,1.379836428289612,0.035373649249474205,2684.7679247148335,0.14458689838647842,438.0,97.0,0.0
state_1679d891d5425f37ea08,fixed_off,p7,p7:1,101,8,561.3363590091467,2617.180923310419,561.2602613400668,281.4062670028458,0.14947766127685705,0.00927504152059555,274.7900323010981,0.06467375593880813,4.781981930136681,0.05855364724993706,2337.174704298377,0.15222467482089996,1674.0,75.0,4.0
state_1679d891d5425f37ea08,me_r0,p7,p7:1,101,8,238.90464209641019,1839.959923022737,238.8391143952807,232.71789696688452,0.13155334939559302,0.007662689313292503,2.6603053944806256,0.01687362479666869,3.262678626924753,0.042143743485212326,1833.723126600186,0.11557899415493011,1340.0,59.0,1.0
state_1679d891d5425f37ea08,pm_off,p7,p7:1,101,8,641.4716227445751,2694.3634633595743,641.4060623695453,263.5971979858975,0.11936730394760768,7.629496045410633,365.7876099459827,0.042445724830031395,4.182793665677309,0.04715169779956341,2316.4253366024545,0.12926237347225347,1648.0,75.0,3.0
state_1679d891d5425f37ea08,rule_off,p7,p7:1,101,8,530.5024249634395,2586.6886286530644,530.42411004814,264.31184836352867,0.13100200643142065,248.24838161778948,13.28180575122436,0.04643597640097141,4.352573382978638,0.05206294978658358,2320.4063039738685,0.17006299458444118,1648.0,75.0,3.0
state_167ce1f68daa5eb1e2fe,context_only,p12,p12:3,303,3,73.6719057119141,1696.1309344042093,73.63626376415293,72.3292687907815,0.11284773548444112,0.00657762090365092,0.028493348509073257,0.009009692197044691,1.115284627303481,0.034781948973735176,1694.6792537346482,0.14468569618960223,317.0,61.0,0.0
state_167ce1f68daa5eb1e2fe,fixed_off,p12,p12:3,303,3,478.1193653276811,2096.73052902023,478.0401856793712,263.16528495711583,0.1353822493304809,0.008874495203296343,209.98371159657836,0.062096320713559784,4.626399992654721,0.05843606777489185,1881.7163692632068,0.13925903476774693,1612.0,59.0,4.0
state_167ce1f68daa5eb1e2fe,me_r0,p12,p12:3,303,3,202.76651360715428,2346.7243735988936,202.71632261574268,197.50973535701632,0.10986300185322762,0.00701324703792731,2.1874839439988136,0.015468026200930277,2.850555426751574,0.036203612883885704,2341.3506763366363,0.16711000353097916,1263.0,79.0,1.0
state_167ce1f68daa5eb1e2fe,pm_off,p12,p12:3,303,3,430.3298785816878,2143.7038869286575,430.2463506658872,244.00930541257063,0.10863629480202992,6.006940345590313,176.47543999676904,0.04122103564441204,3.5611032508313656,0.04370432967940966,1957.348368363455,0.11847331188619137,1520.0,63.0,3.0
state_167ce1f68daa5eb1e2fe,rule_off,p12,p12:3,303,3,498.84299801973003,2026.6454542676609,498.7609116360545,261.0108070075512,0.12624791512886682,176.14236078225076,57.16451296272377,0.04805733139316241,4.217754350975156,0.05117128603160381,1788.7752297489594,0.12011989019811153,1585.0,56.0,3.0
state_171ecc90e75224aaa806,context_only,p4,p4:1,101,3,73.24291222418348,1393.2035865727812,73.20402322026591,71.95258132802944,0.10940083302557468,0.006786004329721133,0.026388093829154968,0.00841465468207995,1.0647336797167857,0.03571862665315469,1391.8366380191098,0.11550666143496831,314.0,50.0,0.0
state_171ecc90e75224aaa806,fixed_off,p4,p4:1,101,3,448.15795837591094,1833.19221297279,448.08810770822066,262.80164198639494,0.1104550901800394,0.009832282861073812,180.98446905302504,0.04728130685786406,4.08613324786226,0.04829474103947481,1647.7912849901866,0.11446226077775161,1625.0,51.0,4.0
